measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2003,12231340.22,12454039.01,12038824.2
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2003,30890046.31,31151193.78,30641444.76
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2004,8005557.669,8080070.594,7930636.96
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2004,1313492.093,1339583.185,1285379.673
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2004,9140141.193,9250599.926,9032841.97
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2004,12230723.64,12415774.43,12070326.2
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2004,30689914.6,30955725.57,30463511.31
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2005,7704116.889,7779357.75,7644086.647
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2005,1251978.499,1276998.164,1223487.902
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2005,8994657.262,9113687.244,8901756.015
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2005,12219065.41,12413555.05,12042714.56
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2005,30169818.06,30441094.75,29927796.91
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2006,7453187.517,7529342.133,7383827.792
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2006,1200281.187,1227317.116,1176076.414
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2006,8857281.768,8965451.371,8756189.467
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2006,12220884.31,12401898.59,12035344.07
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2006,29731634.79,29975064.81,29485414.46
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2007,7242862.806,7324242.134,7168783.117
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2007,1160049.231,1184967.495,1136519.139
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2007,8732735.297,8824943.281,8629300.778
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2007,12317875.31,12522620.93,12114348.73
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2007,29453522.64,29693369.3,29182049.57
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2008,7079546.607,7150541.504,7009466.914
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2008,1153951.833,1178012.474,1129674.602
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2008,8677718.211,8786074.843,8586239.764
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2008,12443415.29,12685594.46,12260376.17
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2008,29354631.94,29619855.69,29133768.2
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2009,6838868.264,6911985.736,6776127.519
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2009,1091368.592,1114429.773,1069842.037
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2009,8480177.327,8587927.634,8369105.905
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2009,12461035.91,12659757.26,12301021.93
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2009,28871450.09,29102368.56,28640039.01
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2010,6708179.69,6778244.884,6638484.572
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2010,1115304.48,1138179.664,1092854.337
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2010,8433073.523,8527552.647,8334975.877
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2010,12635933.83,12831779.04,12459585.88
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2010,28892491.53,29122670.62,28659885.7
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2011,6476155.569,6553662.451,6407105.456
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2011,1058435.997,1081389.948,1036733.598
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2011,8251869.49,8357528.569,8149807.896
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2011,12747236.66,12962027.99,12575606.25
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2011,28533697.72,28788404.65,28295953.59
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2012,6237728.244,6305068.853,6175079.334
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2012,1023421.913,1042030.215,1003025.613
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2012,8164812.239,8265648.956,8071919.899
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2012,12898596.68,13092342.44,12716442.4
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2012,28324559.08,28560557.63,28094384.43
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2013,6061684.246,6129630.834,6004836.754
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2013,1000619.626,1019703.903,981004.2858
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2013,8079628.792,8166453.915,7987505.379
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2013,13073857.41,13235278.41,12923640.81
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2013,28215790.07,28417639.67,28025627.73
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2014,5903658.533,5961885.83,5847222.827
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,2014,981398.5386,1001717.881,963476.9878
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,2014,8024124.666,8124502.64,7938312.555
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,2014,13371260.01,13521278.32,13201263.15
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,2014,28280441.74,28494668.64,28079858.5
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,2015,5763001.049,5822611.947,5712636.99
